cust_id,name,bank_id,dob,city,postal_code,total_transaction,income,cluster
93391,Diane Owens,6,7,4,50115,29777390.0,9782491.0,3
54409,Amber Espinoza,4,8,3,20112,906074755.0,6406325.0,6
27419,Lisa Bennett,6,3,2,10120,49089192.0,7891456.0,3
60562,Susan Clark,1,3,3,20113,595314853.0,9460606.0,1
69055,Sara Pierce,6,4,5,60111,159115348.0,8662304.0,3
20549,Jacqueline Wilson,3,9,1,40113,636017028.0,3950395.0,6
64089,Kimberly Wyatt,5,4,3,20112,87067926.0,4918651.0,3
96093,George Jackson,2,8,3,20111,744480954.0,3843115.0,6
20758,David Woods,4,4,5,60112,216542424.0,5059158.0,3
54019,Kyle Palmer,4,1,3,20115,136349187.0,5241596.0,3
52273,Brooke Torres,1,1,2,10120,946465130.0,7324205.0,1
78182,James Mays,7,5,1,40115,179287828.0,2662664.0,4
42506,Kimberly Garcia,3,1,4,50111,161631400.0,4169728.0,3
59509,Denise Hopkins,4,6,5,60115,422748403.0,7617319.0,5
92571,Peter Fields,5,6,5,60115,65458584.0,8056605.0,3
34429,Dylan Collins,7,4,5,60114,544258618.0,2224438.0,2
52410,Melissa Ross,4,7,5,60114,869077563.0,8402130.0,2
20136,Megan Carter,5,5,1,40112,853385864.0,3034303.0,7
39109,Jennifer Gutierrez,1,5,4,50115,933600882.0,7905172.0,0
77619,Angela Henry,6,4,5,60115,242507486.0,6810197.0,3
43881,Cynthia Powell,4,3,4,50115,667820837.0,2910052.0,0
82034,Alexis Morgan,6,7,3,20112,20809326.0,9069347.0,4
52694,Ashley Rubio,6,8,2,10150,122171903.0,3703074.0,4
80628,Rebecca Rogers,3,2,5,60114,852339036.0,6728363.0,0
25560,Amy Willis,4,6,2,10140,586327014.0,2937011.0,6
94296,Angel Woodard,2,3,3,20111,553660353.0,7782332.0,1
73084,Paul Dudley,6,2,2,10110,618874173.0,7364658.0,7
86709,Amanda Ferguson,6,7,2,10130,349367550.0,7759638.0,4
21842,David Jones,4,9,3,20115,701036609.0,2225864.0,6
87700,Daniel Jackson,4,7,1,40112,460543828.0,2539644.0,4
21900,Erik Estes,3,9,2,10140,958325877.0,8079214.0,6
38666,Jessica Ford,1,3,5,60114,340508813.0,2727962.0,0
90497,Michael Kramer,3,9,5,60113,420568807.0,2934077.0,5
16152,Kelly Wolf,5,8,4,50112,761331127.0,3608570.0,2
90233,James Robbins,3,5,3,20112,49758960.0,2449431.0,5
83625,Cheryl Harmon,4,5,1,40112,646058898.0,4638942.0,7
57973,George Zamora,2,8,1,40111,927395705.0,3626205.0,6
48731,William Wilson,6,6,5,60113,581499669.0,2115744.0,2
89669,Tara Munoz,2,6,1,40115,269811274.0,7129364.0,1
81043,Matthew Rodriguez,1,2,3,20114,549443450.0,8001588.0,1
13393,David Castillo,7,4,1,40111,268773898.0,3828225.0,4
11069,Megan Martinez,3,5,1,40115,846421243.0,2437111.0,6
46498,Caleb Perez,5,1,4,50114,710615570.0,9391193.0,3
78090,Jennifer Silva,5,5,4,50115,498514296.0,2527307.0,2
99542,Ryan Moore,5,5,3,20115,611088831.0,9180317.0,7
68971,Regina Mccann,1,6,1,40114,163529530.0,2471023.0,1
99080,Jacob Baxter,3,3,2,10120,697083579.0,7615323.0,1
72507,Jeanette Gonzales,4,3,5,60115,121642909.0,4206266.0,3
10473,Joseph Waller MD,3,4,5,60114,182036935.0,9063241.0,5
23786,Laura Jensen,2,1,2,10150,293884436.0,6238137.0,1
65012,Barbara Johnson,1,5,1,40111,449257986.0,9198055.0,1
40129,Crystal Brown,1,6,1,40115,858744714.0,9456459.0,6
82307,Christopher Rodriguez,6,8,5,60113,589062549.0,5235167.0,2
25049,George Gonzales,5,4,2,10120,625147999.0,2124306.0,7
41937,Alexis Young,2,7,4,50111,229283565.0,4165398.0,5
10252,Jason Levy,7,5,3,20114,481838546.0,9301401.0,3
33786,James Hooper,7,4,1,40114,826566619.0,3526791.0,7
41083,Edward Fisher,2,8,1,40111,269300772.0,3091054.0,6
71265,Gloria Stanley,7,9,5,60113,367570863.0,4182833.0,2
91706,Evelyn Mora,3,8,1,40112,957313787.0,4426686.0,6
60145,Toni Douglas,1,7,5,60113,716798376.0,8034945.0,5
47512,Mrs. Vicki Bradford,6,8,4,50113,910648671.0,6629627.0,2
99443,Brenda Smith DDS,2,8,1,40113,502739890.0,4170698.0,6
94522,Christopher Mason,5,7,3,20115,497746341.0,6322100.0,4
94164,Linda Garrett,6,6,1,40113,858394956.0,9617731.0,7
34319,Michelle Larson,1,7,3,20112,889577627.0,4183078.0,6
83739,Natalie Harris,5,5,1,40113,828866073.0,4918902.0,7
33866,Ms. Samantha West,5,4,5,60115,579875464.0,2229342.0,0
90954,Alfred Torres,3,4,4,50112,177623884.0,8741382.0,5
78828,Johnathan Gray,3,4,1,40113,827141428.0,8541181.0,6
96095,Jessica Young,7,4,5,60115,156139416.0,3966373.0,3
67415,Cassandra Williams,7,9,2,10110,299426658.0,5430898.0,4
72014,Karen Williams,1,5,5,60113,73242032.0,7317603.0,5
63472,Frank Lewis,4,1,5,60115,167217496.0,4933088.0,3
81014,Kelly Wilson,1,6,4,50111,875959734.0,4280091.0,0
72779,Kayla Cobb,2,8,2,10120,809376209.0,4097933.0,6
91174,Kimberly Robles MD,6,6,2,10110,787891192.0,8732038.0,7
45640,Todd Atkinson,6,3,3,20113,971734354.0,6702382.0,7
83715,Kelly Kim,3,8,5,60115,275293392.0,7749129.0,5
50677,Gregory Lopez,1,3,3,20114,544544501.0,9223938.0,1
68803,Lauren Rocha,1,5,5,60115,939747524.0,8780175.0,0
68193,Alison Boyd,1,1,4,50113,100299395.0,2981614.0,0
52766,Jacqueline Thomas,1,6,1,40111,419965716.0,4021509.0,6
80834,Daniel Branch,7,4,2,10110,698519316.0,8204624.0,7
53970,Ryan Nixon,5,3,4,50114,934820901.0,5396201.0,0
97859,Robert Jackson,2,9,2,10140,762141412.0,8473826.0,6
57779,James Rose,3,4,4,50112,16030838.0,5892535.0,5
34060,Sandra Douglas,1,1,3,20115,498060797.0,2391173.0,0
66991,Scott Meyer,7,4,5,60114,466070532.0,9230223.0,3
84760,Karen Zimmerman,6,7,4,50115,87764746.0,6579221.0,3
73959,Christopher Pratt,5,5,1,40114,879712037.0,7940628.0,7
92078,Amanda Cox,2,2,3,20111,19344788.0,2606205.0,1
19188,Rachael Davis,1,4,1,40112,972919645.0,9425769.0,6
85024,Peter Ayala,3,8,2,10110,156579210.0,6822567.0,4
37817,Christine Vang,2,7,3,20113,824054089.0,7026073.0,6
29454,Elizabeth Combs,5,4,5,60114,755083799.0,2523841.0,0
50911,Robin Pham,2,9,5,60115,579902648.0,3379120.0,5
99507,Jeremiah Davenport,1,8,3,20112,702423008.0,7476546.0,6
65891,Cheryl Johnson,6,2,1,40112,436155672.0,6490314.0,7
89536,Juan Pierce,3,7,3,20112,620306362.0,5463462.0,6
79278,Brenda Mitchell,4,4,1,40113,72523316.0,5723417.0,1
60274,Alexander Patel,1,9,1,40114,537422582.0,8802448.0,6
24079,Curtis Lawson,6,2,5,60112,384946220.0,6563902.0,3
76866,Christopher Pena,3,3,1,40115,862998579.0,6576755.0,7
22331,Kenneth Bruce,6,4,5,60112,432566516.0,4340320.0,3
30945,Sara Dodson,1,4,3,20114,471783874.0,4251524.0,0
74998,Nathaniel Perez,7,8,5,60113,222137151.0,9411082.0,2
64818,Linda Brown,6,4,3,20114,42950890.0,6077264.0,3
37712,Kelly Hopkins,7,8,5,60113,603538996.0,3793535.0,2
13768,Alyssa Smith,4,9,5,60112,755744257.0,4504386.0,2
49736,Bruce Williams,7,7,3,20113,274019261.0,2406039.0,4
48081,Tommy Washington PhD,3,9,1,40114,289294394.0,2658073.0,6
96101,Nathan Kelley,7,5,1,40114,216408915.0,8833601.0,4
99587,Brenda Johnson,2,2,2,10150,613687026.0,9221551.0,1
93976,Garrett Massey,4,8,4,50114,65601719.0,4084247.0,5
13088,Samantha Keller,3,9,1,40114,282983846.0,7557149.0,6
65155,Claire Gross,3,3,3,20114,491583373.0,2801920.0,0
97658,Sarah Alvarez,1,9,5,60113,775198915.0,7861854.0,5
57368,Mary Floyd,2,3,1,40111,174727171.0,3768243.0,1
68893,Wayne Quinn,7,1,1,40113,981379008.0,2219687.0,7
83245,Vickie Gomez,3,6,3,20113,181252083.0,2154206.0,5
10607,James Mathis,4,1,5,60112,659984092.0,2469041.0,0
80428,Chad Williams,4,8,5,60111,396897752.0,8199631.0,5
27125,Shannon Lee,1,5,1,40114,892996776.0,7820826.0,6
96277,Sheila Cook,2,9,3,20112,31777092.0,4586213.0,5
60894,Brenda Flores,4,4,3,20113,380117907.0,5565260.0,3
50596,Tyler Carter,5,4,5,60115,777763207.0,6576470.0,2
42064,Anne Church,6,9,5,60115,980743671.0,4906414.0,2
99344,Joshua Hicks,4,8,1,40114,808447222.0,8163587.0,6
57995,Andrew Hill,7,9,5,60111,433473212.0,7967283.0,2
31729,Daniel White,5,9,1,40111,848602413.0,5482895.0,6
41528,Cathy Taylor,2,6,5,60113,776113927.0,4844319.0,0
96380,Alexandria Garcia,1,1,1,40113,345756560.0,4124924.0,1
58507,Vanessa Wheeler,4,6,2,10110,114115318.0,6588274.0,4
17774,Stephen Kelly,1,6,2,10120,20010996.0,8375824.0,1
87468,Michele Ortega,5,4,4,50115,797067604.0,4753621.0,2
38847,Cristian Salazar,4,8,5,60115,874413645.0,3183683.0,2
52219,Ryan Reid,1,4,1,40115,29674659.0,3101982.0,1
42082,Julie Ray,2,5,4,50114,896270731.0,2075016.0,0
55681,David Stone,3,8,4,50115,538117355.0,2354047.0,5
84872,Emily Vincent,5,1,2,10110,454491921.0,2385332.0,7
91240,Jennifer White,3,4,1,40114,14159502.0,9321179.0,1
62421,Chris Caldwell,4,7,2,10130,792899515.0,6895566.0,6
44476,Kevin Hill,4,9,1,40115,45832155.0,3958579.0,4
52123,Theresa Sharp,1,6,1,40111,864934225.0,2162550.0,6
68751,Victoria Fields,2,2,1,40115,419088029.0,6215325.0,1
92356,Douglas Clark,4,5,4,50111,268509977.0,6445036.0,5
11284,Daniel Morales,7,7,4,50115,626180755.0,5871306.0,2
12774,Stephanie Foster,6,9,3,20114,760130953.0,8065971.0,2
38977,Scott Mills,4,5,5,60115,969046346.0,4609836.0,0
37216,Dean Moore,6,7,4,50114,683963776.0,3730701.0,2
30346,Theresa Beltran,2,3,2,10120,438603227.0,5723845.0,1
96710,Joseph Maxwell,4,4,4,50111,617039411.0,4383753.0,0
45941,Michael Anderson,4,9,4,50113,442067239.0,2509519.0,2
94492,John Jenkins,7,2,4,50114,549309702.0,5939964.0,3
61579,Todd Smith,3,7,5,60112,101977961.0,2275879.0,5
60523,Joshua Hogan,5,3,4,50114,552672159.0,6509540.0,3
82730,Sydney Turner,1,1,2,10130,498641034.0,3306408.0,1
59749,Michael Perez,3,5,2,10150,209733802.0,8875026.0,1
63486,Michael Larson,4,8,1,40113,782876098.0,5526564.0,6
74628,Katrina Hunter,4,6,1,40114,444130466.0,8557178.0,4
11760,Anthony Martin,5,4,1,40115,824474232.0,2098775.0,7
46385,Donna Fisher,2,4,4,50112,865050911.0,7717205.0,0
90285,Peter Jensen,1,9,5,60115,368954288.0,4134342.0,5
22305,Stephanie Bullock,7,4,5,60114,265010046.0,9894968.0,3
43138,Audrey Hudson,5,7,3,20114,361206190.0,8732336.0,4
92944,Raymond Henry,4,2,1,40114,274010144.0,8700780.0,1
52546,Matthew Smith,2,9,1,40112,207406555.0,4986854.0,6
93290,Devin Moore,5,9,4,50114,215657671.0,4782152.0,2
24701,Kelly Vasquez,3,1,3,20113,699555613.0,3324370.0,0
62333,Cheryl Perry,5,4,3,20111,17770581.0,8342818.0,3
28929,Cathy Banks,6,7,4,50112,109270118.0,3689622.0,2
52072,James Kelley,7,1,5,60111,471737524.0,4888963.0,3
79827,Joshua Harris,3,4,5,60113,894190200.0,8549262.0,0
29610,Jennifer Davis,1,7,1,40112,450876218.0,9624119.0,6
28365,Laura Ramirez,1,4,1,40114,492181281.0,5678543.0,1
97421,Justin Hernandez,3,3,1,40112,551616182.0,4147272.0,1
25605,Jacob Walters,1,6,4,50112,271074573.0,5355426.0,5
61656,James Brown,2,2,2,10110,39496659.0,9599957.0,1
14882,Christine Lee,6,1,2,10130,733110872.0,8459448.0,7
82947,Robert Suarez,6,1,2,10140,277364987.0,7053807.0,7
86381,Marcus Murray,1,5,4,50113,54745356.0,3395195.0,5
73997,Samantha Jackson,7,8,5,60112,356775361.0,7410114.0,2
18848,Amy Franco,2,2,2,10140,436392159.0,4635094.0,1
32029,Destiny Huynh,7,9,2,10140,928383395.0,2796645.0,4
17455,Eddie Rogers,7,9,2,10150,474029966.0,5289745.0,4
76444,Christopher Lee,5,7,4,50113,603954128.0,9933478.0,2
85050,Thomas Bartlett,5,5,2,10130,492662284.0,4578761.0,4
69622,Christopher Castro,1,3,4,50113,597786887.0,4132336.0,0
97094,Anthony Woods,7,4,2,10150,669852218.0,8649801.0,7
25325,Latoya Sherman,3,5,3,20111,684989305.0,9659899.0,6
63318,Richard Hines,7,1,3,20113,214641824.0,3343995.0,3
71329,Howard Freeman,7,3,1,40111,97915546.0,5210779.0,4
99826,Melissa Johnson,1,7,2,10150,739551569.0,3023433.0,6
50685,David Krueger,4,3,4,50114,60551668.0,6978260.0,3
10402,Thomas Ortiz,1,5,2,10140,465851934.0,6082881.0,1
38692,Courtney Young,7,7,5,60111,37304537.0,3732630.0,2
52349,Danielle Miller,5,3,3,20111,303949906.0,4230039.0,3
47942,Keith Martinez,4,7,4,50111,336917945.0,5858362.0,5
57600,Ms. Susan Miller,5,6,5,60115,926323334.0,2335803.0,2
95111,Jason Gordon,5,4,3,20111,99283001.0,3713069.0,3
22225,Cody Griffin,5,7,1,40113,92628526.0,7479997.0,4
41747,Kelly Klein,5,2,3,20111,412379074.0,3674291.0,3
16531,Daniel Kramer,6,6,4,50112,579750711.0,5974072.0,2
74335,Daniel Huber,1,7,5,60112,893236912.0,8939385.0,5
60396,Sara Wise,1,2,3,20114,817924410.0,5354191.0,0
76186,William Anderson,4,8,3,20111,903746209.0,7353794.0,6
99693,Frederick Allen,6,3,1,40115,937723487.0,2518539.0,7
44624,Jennifer Chan,4,8,2,10110,869105082.0,2932175.0,6
27255,Mary Smith,1,6,1,40115,383059956.0,3245688.0,6
17435,Laurie Liu,6,7,5,60112,257484617.0,4560333.0,2
29847,Michael Hinton,5,4,2,10140,423106751.0,7714718.0,7
54496,Joshua Shaw,4,3,1,40115,191456826.0,3845038.0,1
94391,Tyler Miller,7,3,4,50111,399266500.0,8290078.0,3
26986,Amber Harris,6,3,2,10140,625064009.0,9104590.0,7
66945,Sarah Lee,2,6,3,20114,572256569.0,6873356.0,6
50894,Craig Brown,5,2,2,10140,971234111.0,8081799.0,7
37943,Jacob Moore,3,6,4,50112,225235401.0,8933936.0,5
50933,Carlos Rosario,4,1,4,50115,531457784.0,8609023.0,3
36542,Jasmine Ramirez,6,5,3,20111,108451310.0,5534750.0,3
55712,Timothy Smith,4,1,2,10140,126267707.0,9590995.0,1
36886,James Smith,6,6,1,40113,129886959.0,6338744.0,4
55860,Isaac Daniels,6,7,4,50114,328631624.0,6951281.0,2
55136,Bonnie Cox,6,7,2,10130,99858725.0,4693318.0,4
57351,Krista Jensen,7,1,3,20111,47065843.0,2426097.0,3
55899,Lisa Villa,4,8,2,10120,678264260.0,5497845.0,6
62311,Kathleen Benson,6,6,1,40112,772912772.0,5137043.0,7
49918,Jeffrey Garcia,5,5,3,20111,752350632.0,4516867.0,7
48479,Jacob Wood,3,1,2,10110,647191323.0,8171514.0,1
59508,Amber Townsend,6,9,1,40115,981104145.0,2689806.0,4
17539,Jesus Sanford,5,2,5,60113,442890429.0,4876290.0,3
39110,Kimberly Perry,7,4,1,40113,69286501.0,5564901.0,4
16002,Cindy Hamilton,7,2,5,60113,733621176.0,6022743.0,3
27252,Alexandria Smith,4,5,5,60112,594714614.0,2545946.0,0
65656,Charles Mccall,7,2,2,10150,432439952.0,9916660.0,7
61350,Amy Davis,7,5,3,20113,657889300.0,5113623.0,7
25122,Jeremy Padilla,6,2,4,50112,360996940.0,2463123.0,3
57034,Kimberly Davis,7,2,4,50112,157593684.0,5911046.0,3
10511,Kenneth Reid,7,9,2,10110,288864969.0,8449856.0,4
76844,David Jimenez,2,2,2,10120,175362995.0,5895207.0,1
40230,Kimberly Smith,2,3,2,10150,586172699.0,9575877.0,1
13152,Tiffany Farmer,4,6,5,60111,111482826.0,4691020.0,5
99252,Cristina Jensen,4,7,1,40115,340292684.0,5149066.0,4
56892,Jason Flores,7,8,4,50114,690950262.0,8861493.0,2
94621,Edward Wilson,7,1,5,60112,165546644.0,7569623.0,3
11529,Melinda Reed,2,8,4,50113,908494605.0,6267850.0,6
66640,Courtney Carlson,3,9,3,20115,501018016.0,5839920.0,6
74469,Kyle Cline,3,5,5,60111,236127378.0,8398297.0,5
12615,James Henderson,5,4,4,50114,137415799.0,2317887.0,3
41932,Lisa Melendez,4,5,1,40115,411554904.0,3918846.0,4
86062,Charles Sanders,7,5,2,10140,587290449.0,9602080.0,7
90205,Caroline Wilson,6,7,5,60113,589456618.0,7670125.0,2
55571,Andrew Bray,3,6,5,60112,993677859.0,9916913.0,0
10554,Emily Lewis,7,2,3,20115,98081438.0,5033162.0,3
10809,Jerry Turner MD,3,4,1,40112,631538850.0,4069773.0,1
12375,Jason Smith,5,3,3,20115,755420285.0,4440880.0,7
21393,William Taylor,2,9,5,60114,952757394.0,6661053.0,5
38148,William Poole,2,3,5,60114,600922636.0,4491043.0,0
11832,Chad Sullivan,3,7,2,10150,384149646.0,7127864.0,6
91272,Cheryl Haas,5,7,1,40113,210030571.0,2596103.0,4
86702,Jonathan Davis,2,4,2,10110,862948895.0,2702140.0,6
30049,Caitlin Peterson,3,2,1,40111,431023918.0,2626026.0,1
82440,Patricia Stevens,2,5,4,50114,265027766.0,9066765.0,5
25750,Ms. Monica Fields,7,3,5,60112,669599138.0,8806860.0,3
26341,Angela Maldonado,4,4,4,50113,787362089.0,5842929.0,0
38118,Debra Robinson,6,7,4,50112,861763812.0,8902983.0,2
66167,Janet Kirk,2,8,2,10110,151610905.0,6282992.0,6
38168,Emily Brown,1,7,3,20114,433102901.0,6085791.0,5
56818,Alejandra Vaughan,3,5,3,20111,852659894.0,8881142.0,6
15045,Kyle Gomez,7,6,2,10130,561239023.0,8386083.0,4
42243,Mrs. Natasha Shannon,6,2,2,10120,677693900.0,4594984.0,7
63210,Courtney Johnson,1,3,4,50111,621316446.0,2772710.0,0
18733,James Warren,1,3,5,60113,963091609.0,7007740.0,0
12421,Shannon Moore,4,8,3,20114,500156221.0,3241059.0,6
47716,Daniel Lamb,2,7,4,50111,798105861.0,9630719.0,5
87434,Ashley Dixon,6,9,3,20114,26746499.0,4539325.0,4
81220,Steven King,1,5,5,60114,339685633.0,5142713.0,5
51681,Rachel Robinson,3,4,2,10140,370780393.0,5518153.0,1
85931,Brandon Livingston,4,6,4,50115,181560860.0,9453093.0,5
27559,Eddie Norman,3,3,5,60114,34192677.0,2176785.0,3
83919,Anthony Haley,1,9,1,40112,791309824.0,7445538.0,6
73122,Christopher Evans,1,7,4,50113,672341221.0,6027217.0,5
68977,Terry Brock,4,5,4,50111,783267302.0,2750159.0,0
18590,Denise Lee,6,8,3,20113,304908903.0,2695698.0,4
10844,Paul Gross,6,5,1,40112,974569882.0,6238869.0,7
86977,Rebecca Brown,7,5,4,50115,740628018.0,3542623.0,2
47264,Michele Cordova,1,2,4,50115,443999025.0,7348734.0,0
69020,Laura Simpson,7,3,4,50112,18615745.0,2710116.0,3
12413,Scott Rogers,4,2,1,40113,920565335.0,6443041.0,7
88814,Robert Holt,2,6,3,20114,200890475.0,9607671.0,5
32262,Angela English,1,7,5,60112,239659877.0,7869548.0,5
37466,Samantha Gaines,7,8,5,60113,690284630.0,6254311.0,2
64187,Jacqueline Molina,1,5,5,60113,617652676.0,7253794.0,0
79395,Lisa Daniel,2,4,2,10140,524787907.0,7255650.0,1
16842,Scott Dickson,4,8,3,20114,499591543.0,6841025.0,6
91425,Dennis Conrad,1,6,1,40115,829673914.0,2964594.0,6
71136,Jessica Smith,4,2,1,40115,524115046.0,9499504.0,1
63886,Karen Le,2,2,4,50112,439136218.0,2727625.0,0
96689,Susan Sanchez,7,1,3,20115,761264332.0,8078139.0,7
26736,David Larson,1,1,4,50113,907311741.0,4451434.0,0
36703,Brandy Owens,2,6,4,50113,835463624.0,2241956.0,0
99831,Mike Morris,2,4,3,20115,740508195.0,8345881.0,0
57198,Peter Stewart,1,5,1,40111,275707336.0,4130537.0,1
98195,Kristen Sanders,5,2,2,10130,308978545.0,9400600.0,7
85355,Linda Davis,5,8,2,10130,822576818.0,8548239.0,6
60746,Jennifer Mccormick,4,3,3,20111,192422767.0,9315648.0,3
73382,Anna Mckee,3,7,2,10110,157198961.0,8152255.0,4
72599,Theresa Jackson,6,1,2,10110,981544276.0,3196507.0,7
26337,Justin Rivera,7,8,4,50113,879811308.0,7189280.0,2
60376,Joshua Hill,3,1,4,50111,458497306.0,5871324.0,0
50814,Brittany Marshall,7,4,3,20115,570142617.0,9282454.0,7
22948,John Reilly,7,2,3,20114,920459711.0,3200063.0,7
94339,Samantha Hickman,3,4,1,40115,330867102.0,8110616.0,1
46819,Joseph Turner,7,6,5,60114,755677513.0,8438117.0,2
62366,Patricia Bell,6,3,1,40113,425807377.0,8238813.0,7
72887,Katherine Gomez,3,5,4,50112,635521853.0,8852456.0,5
99817,Jeffrey Williams,2,6,3,20112,426814161.0,3355305.0,6
20961,Linda Welch,3,8,4,50113,31054232.0,8583132.0,5
80210,Luis Cox,6,2,4,50112,442234928.0,3831511.0,3
92844,Carrie Murray,1,3,1,40111,7923704.0,5399635.0,1
38021,Kathryn Rowland,3,4,4,50115,124070229.0,2026909.0,5
28618,Christopher Jones,4,4,2,10120,564532297.0,2820008.0,7
